item_name,expiry_date,opening_stock,closing_stock,variance,days_to_expiry,expiry_status,stock_analysis,consumption per month,consumption in 3 months,to purchase,unit,calculated_consumption,mos,clinical_status,is_vip,traffic_light,mos_numeric,final_status
synthecon 6/0 rc 13 mm,2029-08-01,6.0,0.0,-6.0,1222,Long Expiry (>6 Months),Normal Movement,6.0,0.0,,dozens,6.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
polyproplene 5/0 rb 13mm,2027-06-01,4.0,0.0,-4.0,430,Long Expiry (>6 Months),Normal Movement,4.0,0.0,,dozens,4.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
surgicril 6/0 rb 13mm,2029-11-01,8.0,0.0,-8.0,1314,Long Expiry (>6 Months),Normal Movement,8.0,0.0,,dozens,8.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
advacryl 6/0 13mm,2029-12-01,10.0,0.0,-10.0,1344,Long Expiry (>6 Months),Normal Movement,10.0,0.0,,dozens,10.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
dermatech 4/0 rb 17mm,2029-01-01,8.0,0.0,-8.0,1010,Long Expiry (>6 Months),Normal Movement,8.0,0.0,,dozens,8.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
dermacryl 5/0 rb 17mm,2030-08-01,10.0,0.0,-10.0,1587,Long Expiry (>6 Months),Normal Movement,10.0,0.0,,dozens,10.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
safety box,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,,pcs,0.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,999.0,RED: Stockout
face masks,2029-08-01,361.0,432.0,71.0,1222,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,pkt of 50's,0.0,432000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
hand sanitizers,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,,Pcs,0.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,999.0,RED: Stockout
paraffin gauze  10 x 10 cm,2030-09-01,381.0,0.0,-381.0,1618,Long Expiry (>6 Months),Fast Mover,381.0,0.0,,pkt of 10's,381.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
gauze rolls 1.5kgs,2030-09-01,208.0,0.0,-208.0,1618,Long Expiry (>6 Months),Fast Mover,0.0,0.0,,Pcs,208.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,999.0,RED: Stockout
steranios (glutaraldehyde 2%) 5ltrs,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),6.0,18.0,,Pcs,0.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
bactigrass,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),0.0,0.0,,pkt of 10's,0.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,999.0,RED: Stockout
endozyme,2100-01-01,0.0,0.0,0.0,26942,Long Expiry (>6 Months),Stockout (Critical),17.0,51.0,,pcs,0.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
nasal oxygen cannula- neonate,2100-01-01,517.0,0.0,-517.0,26942,Long Expiry (>6 Months),Fast Mover,517.0,0.0,,pcs,517.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
nasal oxygen cannula - paeds,2100-01-01,18.0,78.0,60.0,26942,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,pcs,0.0,78000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
nasal oxygen cannula- infant,2100-01-01,770.0,0.0,-770.0,26942,Long Expiry (>6 Months),Fast Mover,770.0,0.0,,pcs,770.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
nasal oxygen cannula- adult,2100-01-01,1526.0,0.0,-1526.0,26942,Long Expiry (>6 Months),Fast Mover,1526.0,0.0,,pcs,1526.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
non-rebreather mask paeds,2100-01-01,620.0,0.0,-620.0,26942,Long Expiry (>6 Months),Fast Mover,620.0,0.0,,pcs,620.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
non-rebreather mask adult,2100-01-01,10.0,0.0,-10.0,26942,Long Expiry (>6 Months),Normal Movement,10.0,0.0,,pcs,10.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
identification band adult,2028-08-01,5200.0,87.0,-5113.0,857,Long Expiry (>6 Months),Fast Mover,5113.0,0.0,,pcs,5113.0,0.0,ORANGE: Low Stock,False,ORANGE: Low Stock,0.0,ORANGE: Low Stock
identification band paeds,2026-08-01,2300.0,600.0,-1700.0,126,Medium Expiry (3-6 Months),Fast Mover,1700.0,0.0,,pcs,1700.0,0.4,ORANGE: Low Stock,False,ORANGE: Low Stock,0.4,ORANGE: Low Stock
needles g23,2030-09-01,3.0,0.0,-3.0,1618,Long Expiry (>6 Months),Normal Movement,3.0,0.0,,pkt of 100's,3.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
folleys catheter 2 way - sz 12,2027-01-01,15.0,0.0,-15.0,279,Long Expiry (>6 Months),Fast Mover,15.0,0.0,,pcs,15.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
folleys catheter 2 way - sz 16,2030-06-01,88.0,46.0,-42.0,1526,Long Expiry (>6 Months),Fast Mover,42.0,0.0,,pcs,42.0,1.1,GREEN: Healthy,True,ORANGE: Low Stock,1.1,ORANGE: Low Stock
folleys catheter 2 way - sz 18,2030-02-01,37.0,42.0,5.0,1406,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,pcs,0.0,42000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
folleys catheter 2 way - sz 10,2027-01-01,16.0,0.0,-16.0,279,Long Expiry (>6 Months),Fast Mover,16.0,0.0,,pcs,16.0,0.0,RED: Stockout (Order Now!),True,RED: Stockout,0.0,RED: Stockout
folleys catheter 3 way - sz 22,2028-08-01,3.0,3.0,0.0,857,Long Expiry (>6 Months),Active Stock (Static Count),0.0,0.0,,Pcs,0.0,3000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
biopsy,2030-04-01,11.0,10.0,-1.0,1465,Long Expiry (>6 Months),Normal Movement,1.0,0.0,,pcs,1.0,10.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,10.0,GREEN: Healthy
tracheostomy 4.5 cuffed,2028-05-01,10.0,0.0,-10.0,765,Long Expiry (>6 Months),Normal Movement,10.0,0.0,,pcs,10.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
tracheostomy 5.0 cuffed,2028-12-01,10.0,10.0,0.0,979,Long Expiry (>6 Months),Dead Stock (Frozen Money),0.0,0.0,,pcs,0.0,10000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
tracheostomy 7.0 cuffed,2027-05-01,5.0,5.0,0.0,399,Long Expiry (>6 Months),Dead Stock (Frozen Money),0.0,0.0,,pcs,0.0,5000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
tracheostomy 7.5 cuffed,2027-06-01,19.0,5.0,-14.0,430,Long Expiry (>6 Months),Fast Mover,14.0,0.0,,pcs,14.0,0.4,ORANGE: Low Stock,False,ORANGE: Low Stock,0.4,ORANGE: Low Stock
p.o.p gypsona 6'',2100-01-01,660.0,0.0,-660.0,26942,Long Expiry (>6 Months),Fast Mover,660.0,0.0,,Pairs,660.0,0.0,RED: Stockout (Order Now!),False,RED: Stockout,0.0,RED: Stockout
chest drainage catheter with trocar sz28,2030-12-01,69.0,60.0,-9.0,1709,Long Expiry (>6 Months),Normal Movement,9.0,0.0,,pcs,9.0,6.7,PURPLE: Dead Stock (Review Needed),True,GREEN: Healthy VIP,6.7,GREEN: Healthy
chest drainage catheter with trocar sz14,2028-05-01,7.0,7.0,0.0,765,Long Expiry (>6 Months),Active Stock (Static Count),0.0,0.0,,pcs,0.0,7000000.0,PURPLE: Dead Stock (Review Needed),True,PURPLE: VIP Overstock,999.0,BLACK: True Deadstock (Zero Movement)
endotracheal tube 7.0 cuffed,2030-12-01,25.0,24.0,-1.0,1709,Long Expiry (>6 Months),Normal Movement,1.0,0.0,,pcs,1.0,24.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,24.0,PURPLE: Regular Slow Mover
endotracheal tube 4.0 cuffed,2029-06-01,52.0,50.0,-2.0,1161,Long Expiry (>6 Months),Normal Movement,2.0,0.0,,pcs,2.0,25.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,25.0,PURPLE: Regular Slow Mover
endotracheal tube 3.0 cuffed,2029-02-01,39.0,39.0,0.0,1041,Long Expiry (>6 Months),Active Stock (Static Count),0.0,0.0,,pcs,0.0,39000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
endotracheal tube 5.5 cuffed,2030-12-01,18.0,18.0,0.0,1709,Long Expiry (>6 Months),Active Stock (Static Count),0.0,0.0,,pcs,0.0,18000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
endotracheal tube 2.5 cuffed,2029-01-01,17.0,17.0,0.0,1010,Long Expiry (>6 Months),Active Stock (Static Count),0.0,0.0,,pcs,0.0,17000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
endotracheal tube 6.5 cuffed,2030-12-01,136.0,136.0,0.0,1709,Long Expiry (>6 Months),Active Stock (Static Count),0.0,0.0,,pcs,0.0,136000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
endotracheal tube 7.5 cuffed,2029-05-01,71.0,70.0,-1.0,1130,Long Expiry (>6 Months),Normal Movement,1.0,0.0,,pcs,1.0,70.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,70.0,PURPLE: Regular Slow Mover
evodrill perforators adult,2029-08-01,6.0,6.0,0.0,1222,Long Expiry (>6 Months),Dead Stock (Frozen Money),0.0,0.0,,pcs,0.0,6000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
feeding tube sz 16,2030-10-01,888.0,74.0,-814.0,1648,Long Expiry (>6 Months),Fast Mover,814.0,0.0,,pcs,814.0,0.1,ORANGE: Low Stock,False,ORANGE: Low Stock,0.1,ORANGE: Low Stock
feeding tube sz 14,2029-12-01,257.0,314.0,57.0,1344,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,pcs,0.0,314000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
feeding tube sz 12,2030-10-01,300.0,316.0,16.0,1648,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,pcs,0.0,316000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
feeding tube sz 10,2028-08-01,36.0,84.0,48.0,857,Long Expiry (>6 Months),Normal Movement,0.0,0.0,,pcs,0.0,84000000.0,PURPLE: Dead Stock (Review Needed),False,PURPLE: Regular Dead Stock,999.0,BLACK: True Deadstock (Zero Movement)
feeding tube sz 08,2028-02-01,500.0,200.0,-300.0,675,Long Expiry (>6 Months),Fast Mover,300.0,0.0,,pcs,300.0,0.7,ORANGE: Low Stock,False,ORANGE: Low Stock,0.7,ORANGE: Low Stock
